ID,Title,Thumbnail,Status,short_description,Description,game_url,Genre,Platform,Publisher,Developer,Release Date,Os,Processor,Memory,Graphics,Storage
582,Tarisland,https://www.freetogame.com/g/582/thumbnail.jpg,Live,A cross-platform MMORPG developed by Level Infinite and Published by Tencent.,"Tarisland is a free-to-play cross-platform MMORPG developed by Level Infinite and Published by Tencent. 

Available on PC and mobile devices, the game allows players to easily move between both, taking the game with them when they can’t be at their desk. The game is designed to appeal to players of MMOs like World of Warcraft, offering players nine playable classes and 18 specializations.

Each class features an extensive talent tree system and can be customized. Players of existing MMOs will be familiar with the standard tank, DPS, and healer lineup, necessary for the game’s classic raid and dungeon system. Explore a vast game world and solve mysteries. Pick up various trades such as gathering, mining, and crafting, and sell your items on the auction house.",https://www.freetogame.com/open/tarisland,MMORPG,Windows,Tencent,Level Infinite,2024-06-22,Windows 10 64-bit,Intel Core i5-4590 or AMD FX-8350,8 GB,Nvidia GeForce GTX 960 or AMD Radeon R9 280,20 GB
540,Overwatch 2,https://www.freetogame.com/g/540/thumbnail.jpg,Live,A hero-focused first-person team shooter from Blizzard Entertainment.,"The tale of the hero organization Overwatch continues in Overwatch 2. This new take on the popular team shooter changes up things a little with five-man teams, redefined classes, and new playable characters. With the adjustment to 5v5, players now have more individual impact than in the previous game.

Challenge yourself in all-new modes. Take control of a robot with your team in Push and take it to the enemy base before the enemy can take it from you. Explore all new areas, including iconic real-world cities such as New York, Rome, Monte Carlo, Toronto, and more.

Overwatch 2 features an update schedule that drops new content every nine weeks. It also boasts a regular battle pass – both free and premium. This is where some of the game’s characters will be obtained.",https://www.freetogame.com/open/overwatch-2,Shooter,Windows,Activision Blizzard,Blizzard Entertainment,2022-10-04,Windows 10 64-bit ,Intel Core i3 or AMD Phenom X3 8650,6 GB RAM,"NVIDIA GeForce GTX 600 series, AMD Radeon HD 7000 series",50 GB
516,PUBG: BATTLEGROUNDS,https://www.freetogame.com/g/516/thumbnail.jpg,Live,Get into the action in one of the longest running battle royale games PUBG Battlegrounds.,"Get into the action in one of the longest running battle royale games PUBG Battlegrounds. Originally titled PlayerUnknown’s Battlegrounds, the game has been offering players the full battle royale experience in a more realistic setting since 2017. Test yourself against 99 other players on seven different maps using whatever weapons you can find. Just be sure to be the last one standing, because that’s the only way to win.

Go it alone or play with friends in groups of two or four. Start out with only the clothes on your back, loot buildings, towns, and other locations to obtain the equipment you need. This includes weapons, armor, vehicles, and more. If you want the really good gear – and it’s likely you do – you’ll have to take some risks and head to the more dangerous zones on the map.

As is generally the case with the battle royale formula, PUBG’s map shrinks over time, herding all players into a random location where they will eventually have no choice but to engage each other or risk taking damage outside the restricted area. At the same time, random areas of the map will be bombed. So, players must be aware of both events and do their best to avoid them.

PUBG Battlegrounds is free-to-play and offers players purchasable items in the form of cosmetics. These do not impact game play.
",https://www.freetogame.com/open/pubg,Shooter,Windows,"KRAFTON, Inc.","KRAFTON, Inc.",2022-01-12,"64-bit Windows 7, Windows 8.1, Windows 10",Intel Core i5-4430 / AMD FX-6300,8 GB RAM,NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB,40 GB available space
508,Enlisted,https://www.freetogame.com/g/508/thumbnail.jpg,Live,Get ready to command your own World War II military squad in Gaijin and Darkflow Software’s MMO squad-based shooter Enlisted. ,"Get ready to command your own World War II military squad in Gaijin and Darkflow Software’s squad-based shooter Enlisted. Play as an infantry squad leader, tank crew, or even an aircraft pilot in a game where everything from the uniforms and weapons to the vehicles are designed with historical accuracy in mind.

In Enlisted, players can train an equip their squad with weapons and other useful items before taking them into battle. Players control one soldier in their squad at a time, and have the ability to switch when a part of the squad has been defeated. When one solider is under player control, the rest are controlled by AI that obeys player orders.

Players have access to four different campaigns, each associated with a specific real-world battle. In each instance the squads, weaponry, vehicles and more will appropriately correspond to each location and date. The game offers hundreds of realistic weapons as well as vehicles that World War II buffs will be familiar with. 

As for the squads, players have access to 12 different kinds of specialists. In addition to the soldiers that spawn naturally, players can recruit additional ones.",https://www.freetogame.com/open/enlisted,Shooter,Windows,Gaijin Entertainment,Darkflow Software,2021-04-08,Windows 7 / 8 / 10 64bit,Intel Core i3 or better,8 GB,"Nvidia GeForce 660, AMD Radeon series 78XX or better",12GB
345,Forge of Empires,https://www.freetogame.com/g/345/thumbnail.jpg,Live,"A free to play 2D browser-based online strategy game, become the leader and raise your city.","Forge of Empires is a free to play 2D browser-based online strategy game that gives players the chance to make their unique city-state into an imperial powerhouse. Everyone has dreamt of building their own empire at some point or another, and Forge of Empires can bring that dream to life.

Players will watch as their civilizations in Forge of Empires begin in the Stone Age and advance all the way into the Industrial Age. The campaign mode is single player and brings players a unique in-depth experience that allows them to use military action, skilled diplomacy, and cunning strategy to achieve their goals.

Moreover, players in Forge of Empires choose where everything goes, setting up their civilization according to their whims and desires. Any buildings they want and where they want them are ultimately up to them.

The greatest feature of Forge of Empires is its wide availability. Players can access Forge of Empires from their Browsers, Apple iOS, Android App, and even on Facebook. It’s only fitting that a game that can create an empire reaches across a multitude of platforms.",https://www.freetogame.com/open/forge-of-empires,Strategy,Web Browser,InnoGames,InnoGames,2012-04-17,N/A,N/A,N/A,N/A,N/A
590,Throne And Liberty,https://www.freetogame.com/g/590/thumbnail.jpg,Live,A free-to-play multi-platorm MMORPG from NCSoft and Amazon Games.,"Throne and Liberty is a free-to-play multi-platform MMORPG from NCSoft and Amazon Games. The open-world game features large-scale PvPvE in which players can explore everything from sprawling plains to mountain peaks.

To survive, players will need to be able to adapt and make decisions based on weather, time of day, and – of course – what other players are doing. The ultimate goal is to claim the throne by defeating Kazar. To do this, players will need to make use of the ability to transform and take the battle to not just the land, but also the sea and air.

The game features cross-play bringing together players on PC, Xbox Series X}S, and PlayStation 5. Players on the PS5 can choose to disable cross-play. It’s also worth noting that cross-progression is not supported.",https://www.freetogame.com/open/throne-and-liberty,MMORPG,Windows,Amazon Games,NCSoft,2024-10-01,Windows 10（64-bit),Intel Core i5-6500,8 GB RAM,NVIDIA Geforce GTX960,63 GB available space
475,Genshin Impact,https://www.freetogame.com/g/475/thumbnail.jpg,Live,"If you’ve been looking for a game to scratch that open-world action RPG itch, one with perhaps a bit of Asian flair, then you’re going to want to check out miHoYo’s Genshin Impact.","If you’ve been looking for a game to scratch that open-world ARPG itch, one with perhaps a bit of Asian flair, then you’re going to want to check out miHoYo’s Genshin Impact. The developer, known previously for Honkai Impact 3rd, take players to the world of Teyvat, a vast open-world designed for extended exploration. Players not only explore dungeons, but climb mountains, trees, and buildings to discover all kinds of secrets. 

Of course, the main character doesn’t travel alone. Instead, players build a four-player group out of over 20 characters that can be swapped out to create the best group for any particular mission. The characters, each with different skills filling out the classic RPG types as well as distinct elemental focuses, can be obtained via gameplay or the game’s gacha mechanics – as is gear. Both characters and gear are upgraded in the game via the in depth crafting system.

In addition, the game offers players an adventurer system that provides them with even more to do, be it daily quests, small favors for the locals, or big continent-traveling quests. The adventurer system also rewards players for their activities with a wide variety of items.

Genshin Impact is available to players on PC, PlayStation 4, and mobile devices. It also features a multiplayer mode allowing up to four players to play together and cross-play across all four platforms, however, PlayStation 4 does not allow for cross-progression.",https://www.freetogame.com/open/genshin-impact,Action RPG,Windows,miHoYo,miHoYo,2020-09-28,Windows 7 SP1 64-bit,Intel Core i7 or equivalent,16 GB,NVIDIA GeForce GTX 1060 6GB or better,30 GB
523,Fall Guys,https://www.freetogame.com/g/523/thumbnail.jpg,Live,Play the most competitive massively multiplayer party royale game featuring beans ever for free on a variety of platforms. ,"Play the most competitive massively multiplayer party royale game featuring beans ever for free on a variety of platforms. Mediatonic’s obstacle course-style game Fall Guys offers players all the excitement of being in a Japanese-style game show – only as a bean and with less chance of severe injury.

Make your way through the obstacle course as quickly as possible while avoiding all the dangers, and everyone else who’d like to take you out and take your spot at the top. Make the run by yourself or work together in teams… until you don’t need your friends any more, that is. Run across spinning tubes with holes in them. Dodge big blades and big balls. Break your way through doors.
 And do it all in style, with your choice of bean-shaped costumes.

Players can join their friends across several platforms including PlayStation, Xbox, Nintendo Switch, and PC (via the Epic Games Store).
",https://www.freetogame.com/open/fall-guys,Battle Royale,Windows,Mediatonic,Mediatonic,2020-08-04,Windows 10 64bit,Intel Core i5 or AMD equivalent,8 GB RAM,NVIDIA GTX 660 or AMD Radeon HD 7950,2 GB available space
340,Game Of Thrones Winter Is Coming,https://www.freetogame.com/g/340/thumbnail.jpg,Live,A free-to-play browser-based RTS based on the George R.R. Martin novels and popular HBO series.,"Game of Thrones Winter is Coming is a free-to-play browser-based RTS based on the George R.R. Martin novels and popular HBO series. In the game developed by YOOZOOGames, player take on the role of a Westeros lord set on putting a stop to the wars between the Seven Kingdoms.

The game is built in Unity and offers players a balanced mix of strategy and RP. Players build bases, grow their kingdom, train armies, and recruit characters from the show, all while living within the story set forth in the TV series.",https://www.freetogame.com/open/game-of-thrones-winter-is-coming,Strategy,Web Browser,GTArcade,YOOZOO Games ,2019-11-14,N/A,N/A,N/A,N/A,N/A
347,Elvenar,https://www.freetogame.com/g/347/thumbnail.jpg,Live,A browser based city-building strategy MMO set in the fantasy world of Elvenar.,"Elvenar is a free to play browser-based 2D Strategy MMO with traditional city building gameplay and RPG elements from InnoGames. This strategy game puts players in the realm of Elvenar in order to choose a civilization that they will then build into a thriving and mighty empire. Which civilization will you help raise to glory in Elvenar: the Humans or the Elves?

Elvenar features gameplay based on other traditional city building games, with focus honing in on adding buildings, exploring the in-game map, and tending to the needs of the population. Both the Humans and the Elves have their own unique city styles befitting their respective cultures.

Speaking of culture, Elvenar also boasts a Culture system that rewards players who take the time improve the happiness of the townspeople with innovative decorations around their city.

But there is more to Elvenar than simple city building and culture: combat is an integral part of the game as well. Players must raise an army to protect their fledgling town from attacks, and the turn-based combat system puts players in direct control of their forces instead of letting them auto-battle. You will decide whether or not your civilization succeeds or fails.

InnoGames offers constant updates and new content for Elvenar, meaning that the gameplay and aesthetics are always changing. The crisp artsyle also ensures that the game can be successfully run on almost any computer system.

Which side you choose in Elvenar will decide how your growing city will look and how it develops, so choose wisely.",https://www.freetogame.com/open/elvenar,Strategy,Web Browser,InnoGames,InnoGames,2015-04-08,N/A,N/A,N/A,N/A,N/A
